"CODE","NAME","VaccineAdultRisk","VaccinePregnant","VaccinePregnantTime"
"AFG","Afghanistan","No","No",NA
"ALB","Albania","No","No",NA
"DZA","Algeria","No","No",NA
"AND","Andorra","No","Yes",NA
"AGO","Angola","No","No",NA
"AIA","Anguilla","Risk","No",NA
"ATG","Antigua and Barbuda","No","No",NA
"ARG","Argentina","Risk","Yes","20-40w"
"ARM","Armenia","No","No",NA
"ABW","Aruba","Risk","No",NA
"AUS","Australia","No","Yes","20-32w"
"AUT","Austria","No","Yes","27-36w"
"AZE","Azerbaijan","No","No",NA
"BHS","Bahamas","No","Yes",NA
"BHR","Bahrain","Both","No",NA
"BGD","Bangladesh","No","No",NA
"BRB","Barbados","Risk","No",NA
"BLR","Belarus","Risk","No",NA
"BEL","Belgium","Adult","Yes","24-32w"
"BLZ","Belize","No","No",NA
"BEN","Benin","No","No",NA
"BMU","Bermuda","No","Yes",NA
"BTN","Bhutan","No","No",NA
"BOL","Bolivia (Plurinational State of)","No","No",NA
"BIH","Bosnia and Herzegovina","No","No",NA
"BWA","Botswana","No","No",NA
"BRA","Brazil","Both","Yes","20-32w"
"VGB","British Virgin Islands","No","Yes",NA
"BRN","Brunei Darussalam","No","No",NA
"BGR","Bulgaria","No","No",NA
"BFA","Burkina Faso","No","No",NA
"BDI","Burundi","No","No",NA
"CPV","Cabo Verde","No","No",NA
"KHM","Cambodia","No","No",NA
"CMR","Cameroon","No","No",NA
"CAN","Canada","Adult","Yes","27-32w"
"CYM","Cayman Islands","No","Yes",NA
"CAF","Central African Republic","No","No",NA
"TCD","Chad","No","No",NA
"CHL","Chile","No","Yes",NA
"CHN","China","No","No",NA
"HKG","China, Hong Kong SAR","No","Yes",NA
"MAC","China, Macao SAR","Risk","Yes",NA
"COL","Colombia","Risk","Yes",NA
"COM","Comoros","No","No",NA
"COG","Congo","No","No",NA
"COK","Cook Islands","No","No",NA
"CRI","Costa Rica","Risk","Yes",NA
"CIV","Côte d'Ivoire","No","No",NA
"HRV","Croatia","No","No",NA
"CUB","Cuba","Risk","No",NA
"CUW","Curaçao","No","No",NA
"CYP","Cyprus","Adult","Yes",NA
