"CoverageDTP1","CoverageDTP3","TimeLastShot","TimeFirstShot","VaccinePregnant","VaccineAdult","VaccineRisk","VaccineAP","VaccineWP","All ages","<1 year"
0.87,0.81,132,2,"1","0","1","1","1",0.176544631444491,9.54048503191427
0.98,0.94,156,2,"1","0","0","1","0",0.00793606003496328,0.427257837374557
0.91,0.84,96,2,"1","0","0","1","0",0.0328611261725891,1.24367247147162
0.98,0.98,192,1.83908045977012,"1","1","0","1","0",0.0212950419583813,0.782246988048625
0.84,0.77,48,2,"1","1","1","0","1",0.458319028078813,13.3225756614888
0.94,0.92,192,2,"1","1","0","1","0",0.0533003288937722,2.02828804924776
0.99,0.96,156,2,"1","1","0","1","0",0.0390561452941667,2.16705582938681
0.98,0.91,192,2,"1","1","1","1","0",0.00557014013532601,0.345822367109472
0.99,0.99,132,2,"1","0","0","1","0",0.00131424992312486,0.0483981731551459
0.95,0.93,72,1.37931034482759,"1","0","0","0","1",53.5548375433256,1363.78022992892
0.97,0.93,156,2,"1","0","1","1","0",0.0379752962894925,1.11720983057832
0.98,0.95,216,3,"1","1","0","1","0",0.00305588676524857,0.157202614898747
0.99,0.99,192,2,"1","0","0","1","0",0.00533026483522474,0.173591253069238
0.93,0.83,48,2,"1","0","0","1","1",0.864896502850751,42.4962059002678
0.97,0.93,48,3,"1","0","1","1","0",0.0296048102831429,1.42765717983704
0.98,0.97,180,3,"1","0","1","1","0",0.0115432635967345,0.416391796679159
0.99,0.9,168,1.60919540229885,"1","0","1","1","1",0.00645385672664959,0.235379727107994
0.99,0.99,60,2,"1","0","0","1","0",0.00914205047544287,0.617373805876259
0.92,0.89,96,3,"1","0","0","1","0",0.0058627154134864,0.211725434538783
0.87,0.85,18,1.37931034482759,"1","0","0","1","0",26.8788823903385,534.426013312971
0.98,0.93,72,2,"1","0","1","1","0",0.0282828753228285,2.26467246674303
0.96,0.94,192,3,"1","0","0","1","0",0.0573246316726606,1.87216401675356
0.97,0.92,40,1.83908045977012,"1","0","0","1","0",0.0338973291319719,1.6237099173748
0.98,0.94,144,2,"1","1","0","1","0",0.1111536151436,4.6089472508318
