"CODE","NAME","VaccineCodeG","VaccineDoseG","TimeFirstShot","TimeLastShot","TimeFirstShotG","TimeLastShotG","TimeShotG","CoverageDTP1","CoverageDTP3"
"AFG","Afghanistan","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.77,0.69
"ALB","Albania","wP","4",2,24,"[2,3)","[2,6)","[2,3) [2,6)",0.98,0.97
"DZA","Algeria","aP","4",2,72,"[2,3)","[6,12)","[2,3) [6,12)",0.91,0.77
"AND","Andorra","aP","5",2,180,"[2,3)","12+","[2,3) 12+",0.99,0.98
"AGO","Angola","wP","3",2,6,"[2,3)","<1","[2,3) <1",0.53,0.42
"AIA","Anguilla","wP","5",2,60,"[2,3)","[2,6)","[2,3) [2,6)",NA,NA
"ATG","Antigua and Barbuda","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.99,0.99
"ARG","Argentina","Both","6",2,132,"[2,3)","[6,12)","[2,3) [6,12)",0.87,0.81
"ARM","Armenia","aP","6",1.37931034482759,192,"[1,2)","12+","[1,2) 12+",0.96,0.93
"ABW","Aruba","aP","6",2,120,"[2,3)","[6,12)","[2,3) [6,12)",NA,NA
"AUS","Australia","aP","6",2,156,"[2,3)","12+","[2,3) 12+",0.98,0.94
"AUT","Austria","aP","4",2,96,"[2,3)","[6,12)","[2,3) [6,12)",0.91,0.84
"AZE","Azerbaijan","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.9,0.83
"BHS","Bahamas","Both","6",2,144,"[2,3)","12+","[2,3) 12+",0.98,0.87
"BHR","Bahrain","Both","6",2,156,"[2,3)","12+","[2,3) 12+",0.97,0.97
"BGD","Bangladesh","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.99,0.98
"BRB","Barbados","wP","4",2,54,"[2,3)","[2,6)","[2,3) [2,6)",0.87,0.86
"BLR","Belarus","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.98,0.98
"BEL","Belgium","aP","6",1.83908045977012,192,"[1,2)","12+","[1,2) 12+",0.98,0.98
"BLZ","Belize","wP","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.91,0.84
"BEN","Benin","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.84,0.76
"BMU","Bermuda","aP","6",2,216,"[2,3)","12+","[2,3) 12+",NA,NA
"BTN","Bhutan","wP","3",1.37931034482759,24,"[1,2)","[2,6)","[1,2) [2,6)",0.98,0.98
"BOL","Bolivia (Plurinational State of)","wP","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.75,0.69
"BIH","Bosnia and Herzegovina","aP","4",2,84,"[2,3)","[6,12)","[2,3) [6,12)",0.85,0.75
"BWA","Botswana","wP","3",2,4,"[2,3)","<1","[2,3) <1",0.98,0.86
"BRA","Brazil","wP","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.84,0.77
"VGB","British Virgin Islands","wP","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",NA,NA
"BRN","Brunei Darussalam","aP","4",2,60,"[2,3)","[2,6)","[2,3) [2,6)",0.99,0.99
"BGR","Bulgaria","aP","6",2,144,"[2,3)","12+","[2,3) 12+",0.94,0.91
"BFA","Burkina Faso","wP","3",1.83908045977012,3.67816091954023,"[1,2)","<1","[1,2) <1",0.95,0.91
"BDI","Burundi","wP","4",1.37931034482759,18,"[1,2)","[1,2)","[1,2) [1,2)",0.93,0.91
"CPV","Cabo Verde","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.97,0.93
