"Variable","Importance","text","cluster"
"TimeLastShot",282.073174513124,"Time of last shot","Low"
"CoverageDTP3",238.76727001361,"DTP3 coverage","Low"
"CoverageDTP1",202.42489766824,"DTP1 coverage","Low"
"VaccinePregnant",189.33843714575,"Maternal immunization","Low"
"VaccineAdult",147.120157541034,"Vaccine for adult","Low"
"TimeFirstShot",105.779173571135,"Time of first shot","Low"
"VaccineRisk",56.6109473023467,"Vaccine for risk","Low"
"VaccineWP",36.4482844767713,"wP vaccine","Low"
"VaccineAP",22.4146701849224,"aP vaccine","Low"
"CoverageDTP3",354.906432882607,"DTP3 coverage","Moderate"
"VaccinePregnant",245.304321220622,"Maternal immunization","Moderate"
"TimeLastShot",236.745367722463,"Time of last shot","Moderate"
"CoverageDTP1",210.299484804604,"DTP1 coverage","Moderate"
"VaccineWP",210.064602998049,"wP vaccine","Moderate"
"VaccineRisk",199.245400410163,"Vaccine for risk","Moderate"
"TimeFirstShot",189.946994709741,"Time of first shot","Moderate"
"VaccineAP",131.58847354737,"aP vaccine","Moderate"
"VaccineAdult",42.6710944422874,"Vaccine for adult","Moderate"
"CoverageDTP1",344.559607708509,"DTP1 coverage","High"
"CoverageDTP3",309.953147031981,"DTP3 coverage","High"
"TimeLastShot",302.610631446543,"Time of last shot","High"
"TimeFirstShot",250.406368231343,"Time of first shot","High"
"VaccinePregnant",191.244041361748,"Maternal immunization","High"
"VaccineAP",107.012478708678,"aP vaccine","High"
"VaccineWP",66.0782514423896,"wP vaccine","High"
"VaccineRisk",55.0302542244671,"Vaccine for risk","High"
"VaccineAdult",13.317301367454,"Vaccine for adult","High"
