"Cluster","prediction","centile","value","text","cluster"
"1",0.577128720647317,"TimeLastShot",3.2183908045977,"Time of last shot","Low"
"1",0.229332606852804,"TimeLastShot",23.5274584929757,"Time of last shot","Low"
"1",0.219587053332251,"TimeLastShot",43.8365261813538,"Time of last shot","Low"
"1",0.231587053332251,"TimeLastShot",64.1455938697318,"Time of last shot","Low"
"1",0.51097932217452,"TimeLastShot",84.4546615581098,"Time of last shot","Low"
"1",0.50647932217452,"TimeLastShot",104.763729246488,"Time of last shot","Low"
"1",0.52127932217452,"TimeLastShot",125.072796934866,"Time of last shot","Low"
"1",1.31791795853816,"TimeLastShot",145.381864623244,"Time of last shot","Low"
"1",1.61561795853816,"TimeLastShot",165.690932311622,"Time of last shot","Low"
"1",1.61561795853816,"TimeLastShot",186,"Time of last shot","Low"
"1",1.04518604714642,"CoverageDTP3",0,"DTP3 coverage","Low"
"1",1.03918604714642,"CoverageDTP3",0.0011,"DTP3 coverage","Low"
"1",1.03918604714642,"CoverageDTP3",0.0022,"DTP3 coverage","Low"
"1",1.08173604714642,"CoverageDTP3",0.0033,"DTP3 coverage","Low"
"1",1.08173604714642,"CoverageDTP3",0.0044,"DTP3 coverage","Low"
"1",1.01471880576711,"CoverageDTP3",0.0055,"DTP3 coverage","Low"
"1",1.00805983140814,"CoverageDTP3",0.0066,"DTP3 coverage","Low"
"1",0.672463743345872,"CoverageDTP3",0.0077,"DTP3 coverage","Low"
"1",0.729680410012539,"CoverageDTP3",0.0088,"DTP3 coverage","Low"
"1",0.314227815291006,"CoverageDTP3",0.0099,"DTP3 coverage","Low"
"1",1.09084325957512,"CoverageDTP1",0.004,"DTP1 coverage","Low"
"1",1.09084325957512,"CoverageDTP1",0.00465555555555556,"DTP1 coverage","Low"
"1",1.14193330286516,"CoverageDTP1",0.00531111111111111,"DTP1 coverage","Low"
"1",1.15103330286516,"CoverageDTP1",0.00596666666666667,"DTP1 coverage","Low"
"1",1.07850499540027,"CoverageDTP1",0.00662222222222222,"DTP1 coverage","Low"
"1",1.01987988717516,"CoverageDTP1",0.00727777777777778,"DTP1 coverage","Low"
"1",0.717534231608789,"CoverageDTP1",0.00793333333333333,"DTP1 coverage","Low"
"1",0.771382960657519,"CoverageDTP1",0.00858888888888889,"DTP1 coverage","Low"
"1",0.866838283112841,"CoverageDTP1",0.00924444444444444,"DTP1 coverage","Low"
"1",1.05292809368353,"CoverageDTP1",0.0099,"DTP1 coverage","Low"
"1",0.313084256480594,"VaccineAP",0,"aP vaccine","Low"
"1",0.462643407606062,"VaccineAP",1,"aP vaccine","Low"
"1",0.172017578943701,"GENERALY",0,"Vaccine dose (2 years+)","Low"
"1",0.172017578943701,"GENERALY",0.222222222222222,"Vaccine dose (2 years+)","Low"
"1",0.172017578943701,"GENERALY",0.444444444444444,"Vaccine dose (2 years+)","Low"
"1",0.145546035729164,"GENERALY",0.666666666666667,"Vaccine dose (2 years+)","Low"
"1",0.145546035729164,"GENERALY",0.888888888888889,"Vaccine dose (2 years+)","Low"
"1",0.145546035729164,"GENERALY",1.11111111111111,"Vaccine dose (2 years+)","Low"
"1",0.145546035729164,"GENERALY",1.33333333333333,"Vaccine dose (2 years+)","Low"
"1",0.332260893035768,"GENERALY",1.55555555555556,"Vaccine dose (2 years+)","Low"
"1",0.332260893035768,"GENERALY",1.77777777777778,"Vaccine dose (2 years+)","Low"
"1",0.332260893035768,"GENERALY",2,"Vaccine dose (2 years+)","Low"
"1",1.0841155287035,"VaccineRisk",0,"Vaccine for risk","Low"
"1",0.983644897374047,"VaccineRisk",1,"Vaccine for risk","Low"
"1",0.699884580279726,"VaccineAdult",0,"Vaccine for adult","Low"
"1",0.901940370887472,"VaccineAdult",1,"Vaccine for adult","Low"
"1",0.458976681229144,"VaccineWP",0,"wP vaccine","Low"
"1",0.393665817531438,"VaccineWP",1,"wP vaccine","Low"
"1",1.02464222443296,"VaccinePregnant",0,"Maternal immunization","Low"
"1",1.05582902476713,"VaccinePregnant",1,"Maternal immunization","Low"
"1",0.788353062777497,"GENERALM",3,"Vaccine dose (<2 years) ","Low"
"1",0.788353062777497,"GENERALM",3.11111111111111,"Vaccine dose (<2 years) ","Low"
"1",0.788353062777497,"GENERALM",3.22222222222222,"Vaccine dose (<2 years) ","Low"
"1",0.788353062777497,"GENERALM",3.33333333333333,"Vaccine dose (<2 years) ","Low"
"1",0.788353062777497,"GENERALM",3.44444444444444,"Vaccine dose (<2 years) ","Low"
"1",0.53040723095381,"GENERALM",3.55555555555556,"Vaccine dose (<2 years) ","Low"
"1",0.53040723095381,"GENERALM",3.66666666666667,"Vaccine dose (<2 years) ","Low"
"1",0.53040723095381,"GENERALM",3.77777777777778,"Vaccine dose (<2 years) ","Low"
"1",0.53040723095381,"GENERALM",3.88888888888889,"Vaccine dose (<2 years) ","Low"
"1",0.53040723095381,"GENERALM",4,"Vaccine dose (<2 years) ","Low"
"2",1.75428388899744,"CoverageDTP1",0.0045,"DTP1 coverage","Moderate"
"2",1.75428388899744,"CoverageDTP1",0.0051,"DTP1 coverage","Moderate"
"2",1.78688388899744,"CoverageDTP1",0.0057,"DTP1 coverage","Moderate"
"2",1.793239444553,"CoverageDTP1",0.0063,"DTP1 coverage","Moderate"
"2",1.76672405993761,"CoverageDTP1",0.0069,"DTP1 coverage","Moderate"
"2",1.88609548850904,"CoverageDTP1",0.0075,"DTP1 coverage","Moderate"
"2",1.85583950560306,"CoverageDTP1",0.0081,"DTP1 coverage","Moderate"
"2",1.53603163014518,"CoverageDTP1",0.0087,"DTP1 coverage","Moderate"
"2",0.818642120670571,"CoverageDTP1",0.0093,"DTP1 coverage","Moderate"
"2",0.848312611291061,"CoverageDTP1",0.0099,"DTP1 coverage","Moderate"
"2",1.20563038518383,"CoverageDTP3",0.0036,"DTP3 coverage","Moderate"
"2",1.24287324232669,"CoverageDTP3",0.0043,"DTP3 coverage","Moderate"
"2",1.24287324232669,"CoverageDTP3",0.005,"DTP3 coverage","Moderate"
"2",1.2317970518505,"CoverageDTP3",0.0057,"DTP3 coverage","Moderate"
"2",1.26273038518383,"CoverageDTP3",0.0064,"DTP3 coverage","Moderate"
"2",1.3219220518505,"CoverageDTP3",0.0071,"DTP3 coverage","Moderate"
"2",0.769728772907223,"CoverageDTP3",0.0078,"DTP3 coverage","Moderate"
"2",0.716920026098476,"CoverageDTP3",0.0085,"DTP3 coverage","Moderate"
"2",0.709652945353135,"CoverageDTP3",0.0092,"DTP3 coverage","Moderate"
"2",0.424686759578125,"CoverageDTP3",0.0099,"DTP3 coverage","Moderate"
"2",1.73742359243126,"VaccineAP",0,"aP vaccine","Moderate"
"2",1.47830641574262,"VaccineAP",1,"aP vaccine","Moderate"
"2",0.885778197878387,"GENERALY",0,"Vaccine dose (2 years+)","Moderate"
"2",0.885778197878387,"GENERALY",0.222222222222222,"Vaccine dose (2 years+)","Moderate"
"2",0.885778197878387,"GENERALY",0.444444444444444,"Vaccine dose (2 years+)","Moderate"
"2",0.720099317870098,"GENERALY",0.666666666666667,"Vaccine dose (2 years+)","Moderate"
"2",0.720099317870098,"GENERALY",0.888888888888889,"Vaccine dose (2 years+)","Moderate"
"2",0.753799317870098,"GENERALY",1.11111111111111,"Vaccine dose (2 years+)","Moderate"
"2",0.753799317870098,"GENERALY",1.33333333333333,"Vaccine dose (2 years+)","Moderate"
"2",1.18446395878474,"GENERALY",1.55555555555556,"Vaccine dose (2 years+)","Moderate"
"2",1.18446395878474,"GENERALY",1.77777777777778,"Vaccine dose (2 years+)","Moderate"
"2",1.18446395878474,"GENERALY",2,"Vaccine dose (2 years+)","Moderate"
"2",0.74842486015331,"VaccineAdult",0,"Vaccine for adult","Moderate"
"2",0.683566892000605,"VaccineAdult",1,"Vaccine for adult","Moderate"
"2",0.447428908178908,"VaccinePregnant",0,"Maternal immunization","Moderate"
"2",0.518028908178908,"VaccinePregnant",1,"Maternal immunization","Moderate"
"2",2.13599140461967,"TimeLastShot",3,"Time of last shot","Moderate"
"2",2.32266857744684,"TimeLastShot",20,"Time of last shot","Moderate"
"2",2.32193093175919,"TimeLastShot",37,"Time of last shot","Moderate"
"2",2.33954608327434,"TimeLastShot",54,"Time of last shot","Moderate"
"2",2.03388474678475,"TimeLastShot",71,"Time of last shot","Moderate"
"2",2.03388474678475,"TimeLastShot",88,"Time of last shot","Moderate"
"2",2.00268474678475,"TimeLastShot",105,"Time of last shot","Moderate"
"2",1.91135444375444,"TimeLastShot",122,"Time of last shot","Moderate"
"2",1.91135444375444,"TimeLastShot",139,"Time of last shot","Moderate"
"2",1.91135444375444,"TimeLastShot",156,"Time of last shot","Moderate"
"2",0.851421913100363,"VaccineWP",0,"wP vaccine","Moderate"
"2",0.803453676366337,"VaccineWP",1,"wP vaccine","Moderate"
"2",0.769836056686246,"GENERALM",3,"Vaccine dose (<2 years) ","Moderate"
"2",0.769836056686246,"GENERALM",3.11111111111111,"Vaccine dose (<2 years) ","Moderate"
"2",0.769836056686246,"GENERALM",3.22222222222222,"Vaccine dose (<2 years) ","Moderate"
"2",0.769836056686246,"GENERALM",3.33333333333333,"Vaccine dose (<2 years) ","Moderate"
