"WHO_REGION","CODE","NAME","CoverageDTP1","CoverageDTP3","VaccinePregnant","VaccineAdult","VaccineRisk","TimeLastShot","TimeFirstShot","GENERALM","GENERALY","VaccineGeneral","VaccineCode","OutbreakSize2022","OutbreakSize2023","OutbreakSize","IncidencePre","IncidencePre25","IncidencePre75","IncidencePreIQR","Incidence2022","Change2022","Incidence2023","Change2023","Region","Income.group","VaccineAP","VaccineWP","Cluster"
"EMRO","AFG","Afghanistan",0.77,0.69,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Normal","Resurgence",3,0,0,12.8,12.8,8,8001,36.2,36201,"South Asia","Low income","FALSE","TRUE","Mild"
"EURO","ALB","Albania",0.98,0.97,0,0,0,24,2,"3","1","4","wP","Low","Low",0,3.1,1.925,5.775,3.85,0,0,0.4,0.13,"Europe & Central Asia","Upper middle income","FALSE","TRUE","Mild"
"AFRO","DZA","Algeria",0.91,0.77,0,0,0,72,2,"3","1","4","aP","Low","Normal",1,0,0,0.4,0.4,0,1,0.3,301,"Middle East & North Africa","Lower middle income","TRUE","FALSE","Mild"
"EURO","AND","Andorra",0.99,0.98,1,0,0,180,2,"3","2","5","aP","Low","Resurgence",3,34.45,13.325,76.2,62.875,0,0,174.8,5.07,"Europe & Central Asia","High income","TRUE","FALSE","High"
"AFRO","AGO","Angola",0.53,0.42,0,0,0,6,2,"3","0","3","aP",NA,NA,NA,0,0,50,50,NA,NA,NA,NA,"Sub-Saharan Africa","Lower middle income","TRUE","FALSE","Mild"
"AMRO","AIA","Anguilla",NA,NA,0,1,1,54,2,"4","1","5","wP","Low","Low",0,0,0,0,0,0,1,0,1,NA,"Low income","FALSE","TRUE","Low"
"AMRO","ATG","Antigua and Barbuda",0.99,0.99,0,0,0,18,2,"4","0","4","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Latin America & Caribbean","High income","FALSE","TRUE","Low"
"AMRO","ARG","Argentina",0.87,0.81,1,0,1,132,2,"4","2","6","Both","Low","Low",0,22.15,19.775,28.675,8.9,4.3,0.19,13.2,0.6,"Latin America & Caribbean","Upper middle income","TRUE","TRUE","High"
"EURO","ARM","Armenia",0.96,0.93,0,0,0,186,1.37931034482759,"4","2","6","aP","Low","Normal",1,9.85,3.325,23.7,20.375,0.4,0.04,18,1.83,"Europe & Central Asia","Upper middle income","TRUE","FALSE","High"
"AMRO","ABW","Aruba",NA,NA,0,0,1,120,2,"4","2","6","aP","Low","Normal",1,9.4,4.7,9.45,4.75,0,0,9.4,1,"Latin America & Caribbean","High income","TRUE","FALSE","High"
