Area,Date,Year,Week,Disease,Cases,URL
UK,2023/3/6,2023,10,pertussis,12,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/3/13,2023,11,pertussis,12,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/3/20,2023,12,pertussis,12,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/3/27,2023,13,pertussis,22,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/4/3,2023,14,pertussis,10,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/4/10,2023,15,pertussis,8,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/4/17,2023,16,pertussis,10,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/4/24,2023,17,pertussis,12,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/5/1,2023,18,pertussis,22,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/5/8,2023,19,pertussis,20,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/5/15,2023,20,pertussis,21,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/5/22,2023,21,pertussis,15,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/5/29,2023,22,pertussis,24,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/6/5,2023,23,pertussis,33,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/6/12,2023,24,pertussis,27,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/6/19,2023,25,pertussis,26,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/6/26,2023,26,pertussis,22,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/7/3,2023,27,pertussis,19,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/7/10,2023,28,pertussis,32,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/7/17,2023,29,pertussis,28,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/7/24,2023,30,pertussis,33,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/7/31,2023,31,pertussis,30,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/8/7,2023,32,pertussis,25,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/8/14,2023,33,pertussis,33,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/8/21,2023,34,pertussis,29,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/8/28,2023,35,pertussis,18,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/9/4,2023,36,pertussis,31,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/9/11,2023,37,pertussis,30,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/9/18,2023,38,pertussis,38,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/9/25,2023,39,pertussis,43,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/10/2,2023,40,pertussis,43,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/10/9,2023,41,pertussis,31,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/10/16,2023,42,pertussis,38,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/10/23,2023,43,pertussis,35,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/10/30,2023,44,pertussis,43,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/11/6,2023,45,pertussis,35,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/11/13,2023,46,pertussis,54,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/11/20,2023,47,pertussis,54,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/11/27,2023,48,pertussis,59,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
